station,xCor,yCor
대청,975.7119140625,380.363165907998
양재시민의숲,863.3369140625,300.406134657998
신용산,637.40869140625,515.505744032998
경찰병원,1109.21875,390.421759657998
석촌,1051.3681640625,428.006720595498
미아,822.2763671875,880.277228407998
사릉,1081.931640625,935.634650282998
신답,876.93359375,675.767462782998
용답,892.49609375,640.952033095498
강변,1014.8984375,535.822150282998
잠실나루,1036.8447265625,482.838751845498
공릉,956.6796875,876.732306532998
수락산,908.75,1071.183478408
마들,919.9599609375,1025.703009658
중계,938.1650390625,951.830939345498
하계,947.052734375,915.781134657998
먹골,970.501953125,820.660040907998
중화,977.8798828125,790.711798720498
녹번,543.88427734375,785.675665907998
선정릉,872.193359375,450.928595595498
한티,895.3779296875,394.962775282998
남부터미널,786.8662109375,353.489142470498
화곡,266.07373046875,567.425665907998
우장산,254.92626953125,594.342658095498
발산,242.28662109375,624.856329970498
부평시장,112.08056640625,412.123908095498
동막,218.04931640625,155.431525282998
동춘,210.05712890625,174.721564345498
신연수,194.15087890625,213.119025282998
선학,186.23388671875,232.234259657998
문학경기장,178.31689453125,251.348517470498
인천터미널,170.40087890625,270.462775282998
예술회관,162.48486328125,289.576056532998
인천시청,154.56884765625,308.691290907998
간석오거리,146.65185546875,327.805548720498
부평삼거리,138.73583984375,346.920783095498
동수,132.34716796875,362.340704970498
갈산,88.73876953125,468.483283095498
간석,77.67236328125,406.974494032998
주안,71.05224609375,422.995001845498
도화,64.43798828125,439.015509657998
제물포,57.82470703125,455.036017470498
도원,51.20458984375,471.056525282998
동인천,44.59130859375,487.078009657998
인천,37.97802734375,503.098517470498
독산,417.83056640625,286.551642470498
부천종합운동장,198.88427734375,419.953009657998
까치울,205.32275390625,402.295783095498
당고개,980.427734375,1047.2586737205
녹천,879.3818359375,947.333869032998
월계,897.52734375,903.577033095498
금곡,1075.732421875,950.666876845498
평내호평,1069.3076171875,966.187384657998
천마산,1062.8759765625,981.711798720498
마석,1056.4423828125,997.238165907998
대성리,1050.0166015625,1012.7645330955
청평,1043.5849609375,1028.2899237205
상천,1037.1533203125,1043.8094549705
가평,1030.720703125,1059.3348455955
굴봉산,1024.2890625,1074.861212783
백양리,1017.8564453125,1088.2391424705
강촌,1011.42578125,1105.9129705955
김유정,1004.994140625,1121.4383612205
남춘천,998.560546875,1136.964728408
춘천,992.12890625,1152.4891424705
양원,1055.7041015625,776.627814345498
도심,1085.8662109375,704.603400282998
덕소,1079.5712890625,719.007697157998
양정,1073.6025390625,733.412970595498
도농,1067.634765625,747.818244032998
구리,1061.654296875,762.221564345498
장암,901.3544921875,1155.552619033
화전,372.66259765625,818.231329970498
행신,391.95947265625,864.752814345498
